award_id,agency_id,vendor_id,vehicle_id,contract_name,award_value,start_date,end_date,naics,psc,keywords,description
HQ000601C0001,USAF,V004,VEH005,200112!000108!9700!ZD60 !BALLISTIC MISSILE DEFENSE ORG. !HQ000601C0001 !A!N!*!N! !20001222!20080930!848025649!848025649!,18762686627.49,2000-12-22,2015-12-31,"{'code': '541720', 'description': 'RESEARCH AND DEVELOPMENT IN THE SOCIAL SCIENCES AND HUMANITIES'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0001914C0067,ARMY,V004,VEH006,USN P-8A FRP II LONG LEAD MATERIAL,18129749821.79,2014-08-14,2027-11-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0002409C2104,DHA,V003,VEH007,CONSTRUCTION OF VIRGINIA CLASS BLOCK III SUBMARINES.,16238775949.0,2008-12-22,2023-08-31,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1904', 'description': 'SUBMARINES'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0002418C2130,GSA,V006,VEH008,NAVAL NUCLEAR LABORATORY,14270285726.57,2018-07-12,2028-09-30,"{'code': '541715', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)'}","{'code': '4470', 'description': 'NUCLEAR REACTORS'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
HT940212C0001,DON,V007,VEH001,T3 MANAGED CARE SUPPORT CONTRACT FOR WEST REGION,13145560374.49,2012-03-20,2019-02-15,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
0005,NAVSEA,V008,VEH002,LOGCAP IV SERVICES AFGHANISTAN,12568636130.95,2009-07-07,2025-09-30,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001916C0033,CDAO,V002,VEH003,LRIP 11 AAC,12269145508.23,2015-12-21,2031-03-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0002416C2116,DISA,V009,VEH004,CVN 80 ENGINEERING EFFORTS AND STEEL,11894554724.85,2016-05-23,2036-06-02,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
FA821920C0006,USAF,V010,VEH005,GROUND-BASED STRATEGIC DETERRENT (GBSD) ENGINEERING AND MANUFACTURING DEVELOPMENT (EMD) AND EARLY PRODUCTION AND DEPLOYM,11719559923.19,2020-09-08,2029-03-10,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': 'AC24', 'description': 'NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
FA863412C2651,ARMY,V004,VEH006,RSAF F-15 FLEET MODERNIZATION PROGRAM,11204226412.65,2012-03-08,2023-05-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
W15QKN21C0012,DHA,V011,VEH007,COVID-19 VACCINE PRODUCTION,11110134065.68,2020-12-22,2023-06-30,"{'code': '325414', 'description': 'BIOLOGICAL PRODUCT (EXCEPT DIAGNOSTIC) MANUFACTURING'}","{'code': '6505', 'description': 'DRUGS AND BIOLOGICALS'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
FA861404C2004,GSA,V004,VEH008,Public demo award 24,11086769499.68,2003-10-02,2017-10-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001907C0001,DON,V012,VEH001,MV-22 AIRCRAFT - FY08 (LOT 12)*,11040980157.1,2007-04-02,2018-08-06,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1520', 'description': 'AIRCRAFT, ROTARY WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0001915C0003,NAVSEA,V002,VEH002,LRIP 10 AAC,10550927664.07,2015-05-26,2032-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
W31P4Q20C0023,CDAO,V002,VEH003,THE CONTRACT AWARD IS FOR THE FY21/FY22/FY23 BASE AND OPTION PRICING FOR PHASE ARRAY TRACKING RADAR TO INTERCEPT ON TARG,10478694385.9,2020-04-30,2033-09-30,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
F4261098C0001,DISA,V013,VEH004,200506!000026!5700!FA8214!OO-ALC/PKME/LMKE                !F4261098C0001  !A!N! !Y!             !P01502!20041213!2005070,10009419769.13,1998-07-01,2025-11-30,"{'code': '541330', 'description': 'ENGINEERING SERVICES'}","{'code': 'L014', 'description': 'TECHNICAL REPRESENTATIVE- GUIDED MISSILES'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
W31P4Q24C0022,USAF,V002,VEH005,EXECUTE PHASED ARRAY TRACKING RADAR TO INTERCEPT ON TARGET (PATRIOT) ADVANCED CAPABILITY-3 (PAC-3) MISSILE PRODUCTION BY,9852834751.99,2024-06-28,2030-09-30,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
FA881113C0003,ARMY,V014,VEH006,IGF::CT::IGF EELV FY13 + PHASE I BUY,9499338750.87,2013-06-26,2022-12-02,"{'code': '481212', 'description': 'NONSCHEDULED CHARTERED FREIGHT AIR TRANSPORTATION'}","{'code': 'V126', 'description': 'TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: SPACE TRANSPORTATION/LAUNCH'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0002403C2101,DHA,V003,VEH007,Public demo award 31,9397332305.22,2003-08-14,2025-05-06,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1904', 'description': 'SUBMARINES'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
HQ014717C0032,GSA,V002,VEH008,HQ0147-17-C-0032 UNDEFINITIZED CONTRACT ACTION (UCA) FOR THAAD INTERCEPTOR LOT 9 PRODUCTION - QTY OF 23,9085373926.82,2017-03-27,2028-11-30,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
F0470102C0002,DON,V015,VEH001,200207!000021!5700!CZ62  !SMC/PKJ LOS ANGELES AFB         !F0470102C0002  !A!N! !N!                   !20011116!20070630,9032712307.12,2001-11-16,2021-01-31,"{'code': '541710', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES'}","{'code': 'AR92', 'description': 'R&D- SPACE: OTHER (APPLIED RESEARCH/EXPLORATORY DEVELOPMENT)'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
0159,NAVSEA,V016,VEH002,FOLLOW ON TASK ORDER TO 139 IS NOW TASK ORDER 159,8949368388.58,2008-09-24,2012-09-30,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
FA861108C2897,CDAO,V002,VEH003,FOLLOW-ON AGILE SUSTAINMENT TO THE RAPTOR (FASTER),8821412144.17,2008-01-01,2023-12-31,"{'code': '488190', 'description': 'OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION'}","{'code': 'J016', 'description': 'MAINT/REPAIR/REBUILD OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
N0001918C1021,DISA,V017,VEH004,LOT 12 AAC LONG LEAD FOR PROPULSION SYSTEMS,8688654906.89,2018-03-23,2024-12-30,"{'code': '336412', 'description': 'AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING'}","{'code': '2840', 'description': 'GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
N0001918C1037,USAF,V013,VEH005,E-2D ADVANCED HAWKEYE AIRCRAFT (FRP-7),8473019987.67,2018-02-15,2030-02-01,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
FA880219C0001,ARMY,V018,VEH006,FY19 ENGINEERING SERVICES,8192039643.11,2018-10-01,2028-09-30,"{'code': '541715', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)'}","{'code': 'R425', 'description': 'SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0001921C0020,DHA,V002,VEH007,FY21-23 GLOBAL F-35 AIR SYSTEM SUSTAINMENT,7953264130.5,2020-12-31,2027-12-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
0139,GSA,V016,VEH008,200612!001884!2100!W52P1J!U.S. ARMY INDUSTRIAL OPERATIONS !DAAA0902D0007  !A!N! !Y!0139         !      !20060822!2012013,7865825758.15,2006-08-22,2012-12-30,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001904C3146,DON,V004,VEH001,Public demo award 41,7633729888.76,2004-06-29,2026-08-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
FA861106C2899,NAVSEA,V002,VEH002,200610!000027!5700!FA8611!ASC/YFK                         !FA861106C2899  !A!N! !N!             !      !20051223!2006051,7581647887.33,2005-12-23,2016-02-27,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001920C0011,CDAO,V017,VEH003,LOT 15 FMS-1 F135 CTOL PROP SYSTEM,7498605067.74,2020-03-23,2030-10-15,"{'code': '336412', 'description': 'AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING'}","{'code': '2840', 'description': 'GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
W58RGZ16C0023,DISA,V004,VEH004,"W58RGZ-16-C-0023 IS FOR THE AWARD OF ADVANCE PROCUREMENT IN THE AMOUNT OF $184,930,000.00 TO SUPPORT LOT 7 FULL RATE PRO",7465915207.31,2016-03-21,2028-03-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '5342', 'description': 'HARDWARE, WEAPON SYSTEM'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
0004,USAF,V019,VEH005,LOGCAP IV SERVICES IN AFGHANISTAN,7377629917.55,2009-07-07,2022-06-30,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
HT940223C0001,ARMY,V001,VEH006,"TRICARE MANAGED CARE SUPPORT SERVICES CONTRACT, 5TH GENERATION EAST REGION",7345789768.63,2023-02-01,2029-12-31,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0001912C2001,DHA,V012,VEH007,PROCUREMENT OF V-22 LOT 17 LONG LEAD-TIME ITEMS,7337457221.95,2011-12-29,2021-09-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
FA881018C0005,GSA,V015,VEH008,NEXT GENERATION OVERHEAD PERSISTENT INFRARED GEOSYNCHRONOUS EARTH ORBIT SPACE VEHICLE 1-3 PHASE 1,7287143870.99,2018-08-14,2029-07-31,"{'code': '541715', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)'}","{'code': 'AC24', 'description': 'NATIONAL DEFENSE R&D SERVICES; ATOMIC ENERGY DEFENSE ACTIVITIES; R&D ADMINISTRATIVE EXPENSES'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
FA862506C6456,DON,V015,VEH001,Public demo award 49,7261932653.67,2006-02-28,2018-09-20,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0001911C0083,NAVSEA,V002,VEH002,F-35 LIGHTNING II JOINT STRIKE FIGHTER (JSF) LOW RATE INITIAL PRODUCTION (LRIP) LOT 6 ADVANCE ACQUISITION CONTRACT,7186135705.16,2011-08-08,2023-05-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
HT940223C0002,CDAO,V020,VEH003,"TRICARE MANAGED CARE SUPPORT SERVICES CONTRACT, 5TH GENERATION WEST REGION",7128756542.1,2024-01-01,2026-12-31,"{'code': '524114', 'description': 'DIRECT HEALTH AND MEDICAL INSURANCE CARRIERS'}","{'code': 'Q201', 'description': 'MEDICAL- MANAGED HEALTHCARE'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
DAAE0703CS023,DISA,V021,VEH004,200502!000833!2100!W56HZV!TACOM - WARREN                  !DAAE0703CS023  !A!N! !N!             !P00031!20041101!2008111,7052768924.82,2003-04-17,2009-11-30,"{'code': '336212', 'description': 'TRUCK TRAILER MANUFACTURING'}","{'code': '2320', 'description': 'TRUCKS AND TRUCK TRACTORS, WHEELED'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
N0001914C0002,USAF,V002,VEH005,LRIP 9 AIRCRAFT AAC,6998362070.51,2014-03-19,2025-07-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
FA863418C2701,ARMY,V004,VEH006,"F-15, FMS, F-15QA AIR VEHICLE DEVELOPMENT",6979222395.76,2017-12-22,2027-11-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
N0002423C2307,DHA,V022,VEH007,CONSTRUCTION OF DDG 51 SHIPS FY23-27,6948190150.83,2023-08-01,2034-02-28,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0002418C2307,GSA,V022,VEH008,FY18-FY22 DDG 51 CLASS SHIP CONSTRUCTION,6826680195.74,2018-09-27,2032-07-09,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1905', 'description': 'COMBAT SHIPS AND LANDING VESSELS'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001924C0039,DON,V002,VEH001,CY24 AVSC SUPPLY SUPPORT,6818606177.0,2024-06-28,2033-09-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
N0002408C2110,NAVSEA,V009,VEH002,TAS::17 1611::TAS CVN 78 SHIP CONSTRUCTION,6645710960.11,2008-08-01,2022-09-30,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1901', 'description': 'AIRCRAFT CARRIERS'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0001917C0015,CDAO,V012,VEH003,CMV-22 PRODUCTION LOT 22 LONG LEAD-TIME ITEMS,6597245392.74,2016-12-28,2028-01-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
HQ014712C0004,DISA,V004,VEH004,"THE MISSILE DEFENSE AGENCY (MDA), GROUND-BASED MIDCOURSE DEFENSE (GMD) DEVELOPMENT AND SUSTAINMENT CONTRACT (DSC) THE GM",6466627868.26,2011-12-30,2025-12-31,"{'code': '541712', 'description': 'RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT BIOTECHNOLOGY)'}","{'code': '1420', 'description': 'GUIDED MISSILE COMPONENTS'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
W56HZV15C0095,USAF,V023,VEH005,"THE CONTRACT INCLUDES FIRM FIXED PRICE (FFP) CONTACT LINE ITEM NUMBERS (CLIN) FOR VEHICLES, TRAILERS, KITS (PACKAGED AND",6104259192.82,2015-08-25,2025-09-25,"{'code': '336992', 'description': 'MILITARY ARMORED VEHICLE, TANK, AND TANK COMPONENT MANUFACTURING'}","{'code': '2355', 'description': 'COMBAT, ASSAULT, AND TACTICAL VEHICLES, WHEELED'}",digital transformation;data visualization,Public USAspending.gov award row curated for dashboard demo.
N0001906C0081,ARMY,V024,VEH006,Public demo award 62,6103285531.96,2006-01-03,2026-06-30,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': 'AC15', 'description': 'NATIONAL DEFENSE R&D SVCS; DEPARTMENT OF DEFENSE - MILITARY; R&D FACILITIES & MAJ EQUIP'}",acquisition analytics;decision support;Power BI,Public USAspending.gov award row curated for dashboard demo.
0059,DHA,V016,VEH007,Public demo award 63,6062897262.53,2003-08-12,2014-09-30,"{'code': '561210', 'description': 'FACILITIES SUPPORT SERVICES'}","{'code': 'R706', 'description': 'SUPPORT- MANAGEMENT: LOGISTICS SUPPORT'}",RAG;LLM;enterprise search;knowledge management,Public USAspending.gov award row curated for dashboard demo.
N0001913C0008,GSA,V002,VEH008,F-35 LRIP 8 AAC,6035358369.47,2013-02-28,2100-12-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",Power Platform;workflow automation;data governance,Public USAspending.gov award row curated for dashboard demo.
FA862914C2403,DON,V024,VEH001,ACAT 1D - CRH,5975036884.1,2014-06-26,2026-02-28,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1520', 'description': 'AIRCRAFT, ROTARY WING'}",data analytics;Power BI;decision support,Public USAspending.gov award row curated for dashboard demo.
FA862514C6450,NAVSEA,V015,VEH002,FY13 ADVANCE PROCUREMENT FUNDS FOR FY14 C-130J AIRCRAFT,5934097111.63,2013-12-09,2020-07-31,"{'code': '336411', 'description': 'AIRCRAFT MANUFACTURING'}","{'code': '1510', 'description': 'AIRCRAFT, FIXED WING'}",AI;machine learning;data governance,Public USAspending.gov award row curated for dashboard demo.
N0002416C2229,CDAO,V025,VEH003,DETAIL DESIGN AND CONSTRUCTION (DD&C) FOR T-AO 205,5874770386.23,2016-06-30,2028-03-22,"{'code': '336611', 'description': 'SHIP BUILDING AND REPAIRING'}","{'code': '1915', 'description': 'CARGO AND TANKER VESSELS'}",knowledge management;SharePoint;workflow automation,Public USAspending.gov award row curated for dashboard demo.
HQ014707C0196,DISA,V015,VEH004,THAAD COMPONENTS FOR FIRE UNITS TAS::97 0400::TAS,5817859453.93,2006-12-22,2023-03-31,"{'code': '336414', 'description': 'GUIDED MISSILE AND SPACE VEHICLE MANUFACTURING'}","{'code': '1410', 'description': 'GUIDED MISSILES'}",cyber;data engineering;cloud,Public USAspending.gov award row curated for dashboard demo.
